"Year","Month","Flat Type","Sale Price"
"2010","2010-01","2 ROOM","6982476"
"2010","2010-01","3 ROOM","205552758"
"2010","2010-01","4 ROOM","364249553"
"2010","2010-01","5 ROOM","312204896"
"2010","2010-01","EXECUTIVE","121294161"
"2010","2010-01","MULTI GENERATION","698000"
"2010","2010-02","1 ROOM","154000"
"2010","2010-02","2 ROOM","4620500"
"2010","2010-02","3 ROOM","184167003"
"2010","2010-02","4 ROOM","318657277"
"2010","2010-02","5 ROOM","256453305"
"2010","2010-02","EXECUTIVE","104154516"
"2010","2010-02","MULTI GENERATION","1200000"
"2010","2010-03","1 ROOM","507000"
"2010","2010-03","2 ROOM","3414800"
"2010","2010-03","3 ROOM","243702177"
"2010","2010-03","4 ROOM","454505809"
"2010","2010-03","5 ROOM","344862464"
"2010","2010-03","EXECUTIVE","132511384"
"2010","2010-04","1 ROOM","170000"
"2010","2010-04","2 ROOM","7818888"
"2010","2010-04","3 ROOM","232201031"
"2010","2010-04","4 ROOM","408285747"
"2010","2010-04","5 ROOM","329530601"
"2010","2010-04","EXECUTIVE","130429290"
"2010","2010-04","MULTI GENERATION","698000"
"2010","2010-05","1 ROOM","166000"
"2010","2010-05","2 ROOM","5831900"
"2010","2010-05","3 ROOM","223410083"
"2010","2010-05","4 ROOM","390052408"
"2010","2010-05","5 ROOM","310323584"
"2010","2010-05","EXECUTIVE","115583237"
"2010","2010-06","1 ROOM","532000"
"2010","2010-06","2 ROOM","7331700"
"2010","2010-06","3 ROOM","290623983"
"2010","2010-06","4 ROOM","470317695"
"2010","2010-06","5 ROOM","408993612"
"2010","2010-06","EXECUTIVE","152716228"
"2010","2010-06","MULTI GENERATION","592000"
"2010","2010-07","1 ROOM","205000"
"2010","2010-07","2 ROOM","8825388"
"2010","2010-07","3 ROOM","302166338"
"2010","2010-07","4 ROOM","516801325"
"2010","2010-07","5 ROOM","427414644"
"2010","2010-07","EXECUTIVE","160597440"
"2010","2010-07","MULTI GENERATION","600000"
"2010","2010-08","1 ROOM","577000"
"2010","2010-08","2 ROOM","5408100"
"2010","2010-08","3 ROOM","294228906"
"2010","2010-08","4 ROOM","467470013"
"2010","2010-08","5 ROOM","367086306"
"2010","2010-08","EXECUTIVE","147247444"
"2010","2010-09","2 ROOM","7778888"
"2010","2010-09","3 ROOM","253370383"
"2010","2010-09","4 ROOM","428257970"
"2010","2010-09","5 ROOM","358120058"
"2010","2010-09","EXECUTIVE","146663669"
"2010","2010-10","1 ROOM","220000"
"2010","2010-10","2 ROOM","6625000"
"2010","2010-10","3 ROOM","234020223"
"2010","2010-10","4 ROOM","391622213"
"2010","2010-10","5 ROOM","347603330"
"2010","2010-10","EXECUTIVE","132271237"
"2010","2010-10","MULTI GENERATION","1916888"
"2010","2010-11","1 ROOM","418000"
"2010","2010-11","2 ROOM","4876000"
"2010","2010-11","3 ROOM","206858946"
"2010","2010-11","4 ROOM","318379630"
"2010","2010-11","5 ROOM","253708132"
"2010","2010-11","EXECUTIVE","93136116"
"2010","2010-12","1 ROOM","1009000"
"2010","2010-12","2 ROOM","4474000"
"2010","2010-12","3 ROOM","185710819"
"2010","2010-12","4 ROOM","291759021"
"2010","2010-12","5 ROOM","238415043"
"2010","2010-12","EXECUTIVE","89364709"
"2010","2010-12","MULTI GENERATION","1702000"
"2011","2011-01","1 ROOM","422000"
"2011","2011-01","2 ROOM","6409000"
"2011","2011-01","3 ROOM","209234996"
"2011","2011-01","4 ROOM","293731496"
"2011","2011-01","5 ROOM","245158744"
"2011","2011-01","EXECUTIVE","100278128"
"2011","2011-01","MULTI GENERATION","640000"
"2011","2011-02","1 ROOM","218000"
"2011","2011-02","2 ROOM","5552000"
"2011","2011-02","3 ROOM","155756869"
"2011","2011-02","4 ROOM","256168757"
"2011","2011-02","5 ROOM","212457689"
"2011","2011-02","EXECUTIVE","88302878"
"2011","2011-02","MULTI GENERATION","708000"
"2011","2011-03","1 ROOM","205000"
"2011","2011-03","2 ROOM","2716000"
"2011","2011-03","3 ROOM","175479178"
"2011","2011-03","4 ROOM","310195955"
"2011","2011-03","5 ROOM","246474579"
"2011","2011-03","EXECUTIVE","77102476"
"2011","2011-03","MULTI GENERATION","780000"
"2011","2011-04","1 ROOM","219000"
"2011","2011-04","2 ROOM","6048000"
"2011","2011-04","3 ROOM","172438850"
"2011","2011-04","4 ROOM","311060272"
"2011","2011-04","5 ROOM","240943547"
"2011","2011-04","EXECUTIVE","80844164"
"2011","2011-04","MULTI GENERATION","1285000"
"2011","2011-05","2 ROOM","4306888"
"2011","2011-05","3 ROOM","178325644"
"2011","2011-05","4 ROOM","302904599"
"2011","2011-05","5 ROOM","244298445"
"2011","2011-05","EXECUTIVE","90537951"
"2011","2011-05","MULTI GENERATION","686000"
"2011","2011-06","1 ROOM","407000"
"2011","2011-06","2 ROOM","6725500"
"2011","2011-06","3 ROOM","176018586"
"2011","2011-06","4 ROOM","318633635"
"2011","2011-06","5 ROOM","258224015"
"2011","2011-06","EXECUTIVE","100383023"
"2011","2011-06","MULTI GENERATION","1340000"
"2011","2011-07","1 ROOM","431000"
"2011","2011-07","2 ROOM","5320800"
"2011","2011-07","3 ROOM","195007209"
"2011","2011-07","4 ROOM","302302520"
"2011","2011-07","5 ROOM","271269249"
"2011","2011-07","EXECUTIVE","84122341"
"2011","2011-08","1 ROOM","230500"
"2011","2011-08","2 ROOM","6269888"
"2011","2011-08","3 ROOM","166034871"
"2011","2011-08","4 ROOM","276418735"
"2011","2011-08","5 ROOM","223906605"
"2011","2011-08","EXECUTIVE","80509988"
"2011","2011-08","MULTI GENERATION","645000"
"2011","2011-09","1 ROOM","887500"
"2011","2011-09","2 ROOM","5520968"
"2011","2011-09","3 ROOM","178590824"
"2011","2011-09","4 ROOM","291351488"
"2011","2011-09","5 ROOM","224851203"
"2011","2011-09","EXECUTIVE","78934292"
"2011","2011-09","MULTI GENERATION","666000"
"2011","2011-10","2 ROOM","3981300"
"2011","2011-10","3 ROOM","156006190"
"2011","2011-10","4 ROOM","259505325"
"2011","2011-10","5 ROOM","211284893"
"2011","2011-10","EXECUTIVE","90553783"
"2011","2011-11","2 ROOM","5688000"
"2011","2011-11","3 ROOM","160263382"
"2011","2011-11","4 ROOM","297056708"
"2011","2011-11","5 ROOM","223196131"
"2011","2011-11","EXECUTIVE","88432140"
"2011","2011-12","1 ROOM","400000"
"2011","2011-12","2 ROOM","5689288"
"2011","2011-12","3 ROOM","150563704"
"2011","2011-12","4 ROOM","254283308"
"2011","2011-12","5 ROOM","211171220"
"2011","2011-12","EXECUTIVE","82974764"
